# Frozen export for the dashboard. Exported 2026-08-05 from the backtest notebook (private), frozen 2026-07-29.
# Columns: QLD_px = rebased total-return index, QLD_ret = daily return, Signal_alloc, Effective_alloc,
#   New_ret = E2 daily strategy return.
# Derived aggregates only (rebased index / rule outputs); no raw research inputs. NEVER regenerated by automation.
# Engine-vs-backtest verification: tests/test_signal_reference.py (exact match on every comparable day).
Period,QLD_px,QLD_ret,Signal_alloc,Effective_alloc,New_ret
2007-02-23,1.2766,-0.009004812917248972,,,
2007-02-26,1.265,-0.009086636377878765,,,
2007-02-27,1.1431,-0.09636363636363632,,,
2007-02-28,1.1677,0.02152042690928169,,,
2007-03-01,1.1555,-0.01044788901258886,,,
2007-03-02,1.115,-0.03504976200778886,,,
2007-03-05,1.0996,-0.01381165919282523,,,
2007-03-06,1.1398,0.03655874863586761,,,
2007-03-07,1.1294,-0.00912440779084045,,,
2007-03-08,1.1504,0.01859394368691358,,,
2007-03-09,1.1463,-0.003563977746870672,,,
2007-03-12,1.1569,0.00924714298176732,,,
2007-03-13,1.1131,-0.03785979773532722,,,
2007-03-14,1.144,0.02776030904680615,,,
2007-03-15,1.1408,-0.002797202797202636,,,
2007-03-16,1.1366,-0.003681626928471182,,,
2007-03-19,1.1595,0.02014780925567483,,,
2007-03-20,1.1751,0.01345407503234153,,,
2007-03-21,1.2186,0.03701812611692601,,,
2007-03-22,1.2113,-0.00599048087969789,,,
2007-03-23,1.2007,-0.008750928754230891,,,
2007-03-26,1.21,0.007745481802281962,,,
2007-03-27,1.1971,-0.01066115702479331,,,
2007-03-28,1.1723,-0.0207167321025814,,,
2007-03-29,1.1709,-0.001194233557962887,,,
2007-03-30,1.1749,0.003416175591425485,,,
2007-04-02,1.1706,-0.003659885947740249,,,
2007-04-03,1.2044,0.02887408166752081,,,
2007-04-04,1.2115,0.005895051477914359,,,
2007-04-05,1.2246,0.01081304168386299,,,
2007-04-09,1.2186,-0.004899559039686419,,,
2007-04-10,1.228,0.007713769899885259,,,
2007-04-11,1.2029,-0.02043973941368071,,,
2007-04-12,1.2238,0.01737467786183378,,,
2007-04-13,1.2282,0.003595358718744945,,,
2007-04-16,1.2497,0.0175052922976715,,,
2007-04-17,1.2547,0.004000960230455153,,,
2007-04-18,1.2499,-0.003825615685024264,,,
2007-04-19,1.251,0.0008800704056324271,,,
2007-04-20,1.2698,0.01502797761790586,,,
2007-04-23,1.2704,0.0004725153567490814,,,
2007-04-24,1.2806,0.008028967254408048,,,
2007-04-25,1.3174,0.02873652975167884,,,
2007-04-26,1.3312,0.01047517838166079,,,
2007-04-27,1.3327,0.001126802884615419,,,
2007-04-30,1.2978,-0.02618743903354093,,,
2007-05-01,1.3058,0.006164278008938151,,,
2007-05-02,1.3225,0.01278909480778068,,,
2007-05-03,1.3327,0.007712665406427233,,,
2007-05-04,1.3358,0.002326104899827541,,,
2007-05-07,1.3328,-0.002245845186405249,,,
2007-05-08,1.3321,-0.0005252100840335006,,,
2007-05-09,1.3419,0.007356805044666404,,,
2007-05-10,1.3083,-0.02503912363067295,,,
2007-05-11,1.339,0.02346556600168159,,,
2007-05-14,1.3197,-0.01441374159820752,,,
2007-05-15,1.3007,-0.01439721148745932,,,
2007-05-16,1.325,0.01868224802029683,,,
2007-05-17,1.3107,-0.0107924528301887,,,
2007-05-18,1.3322,0.01640344853894882,,,
2007-05-21,1.3508,0.01396186758744933,,,
2007-05-22,1.3524,0.001184483269173864,,,
2007-05-23,1.3405,-0.008799171842650111,,,
2007-05-24,1.3026,-0.02827303245057822,,,
2007-05-25,1.3165,0.01067096576078619,,,
2007-05-29,1.3334,0.01283706798328899,,,
2007-05-30,1.357,0.01769911504424782,,,
2007-05-31,1.3741,0.01260132645541634,,,
2007-06-01,1.373,-0.0008005239793319463,,,
2007-06-04,1.3769,0.002840495265841181,,,
2007-06-05,1.3788,0.001379911395163136,,,
2007-06-06,1.3473,-0.02284595300261105,,,
2007-06-07,1.3023,-0.0334001336005344,,,
2007-06-08,1.3373,0.02687552791215531,,,
2007-06-11,1.3319,-0.004037986988708497,,,
2007-06-12,1.3139,-0.01351452811772658,,,
2007-06-13,1.3399,0.01978841616561389,,,
2007-06-14,1.3636,0.01768788715575775,,,
2007-06-15,1.3892,0.01877383396890586,,,
2007-06-18,1.3878,-0.00100777425856613,,,
2007-06-19,1.386,-0.001297016861219191,,,
